time,heat_load
0 sec,3902.694413
300 sec,6021.790979
600 sec,5905.497756
900 sec,5962.356596
1200 sec,5973.978658
1500 sec,5990.925436
1800 sec,5972.292515
2100 sec,6036.039172
2400 sec,6085.88255
2700 sec,6002.406947
3000 sec,5910.044346
3300 sec,6002.390339
3600 sec,5968.709398
3900 sec,5953.388532
4200 sec,5974.30515
4500 sec,5939.705814
4800 sec,5971.189433
5100 sec,5990.810524
5400 sec,5926.58023
5700 sec,5938.125559
6000 sec,5928.324186
6300 sec,5890.2547
6600 sec,5961.980682
6900 sec,6002.893309
7200 sec,5977.512936
7500 sec,5983.926331
7800 sec,5919.948127
8100 sec,5923.021328
8400 sec,5958.598274
8700 sec,5929.949121
9000 sec,5942.422653
9300 sec,5897.913573
9600 sec,5907.805883
9900 sec,5898.283322
10200 sec,5843.906752
10500 sec,5936.663994
10800 sec,5924.766435
11100 sec,5910.678838
11400 sec,5973.184365
11700 sec,5914.178199
12000 sec,5973.258783
12300 sec,5951.137445
12600 sec,5972.177056
12900 sec,6000.067317
13200 sec,5975.5939
13500 sec,5999.011364
13800 sec,5985.163078
14100 sec,5999.44815
14400 sec,5980.216565
14700 sec,5992.673234
15000 sec,5952.03866
15300 sec,5955.52434
15600 sec,5931.363445
15900 sec,6038.679079
16200 sec,6288.3777
16500 sec,6327.995708
16800 sec,6240.018052
17100 sec,6283.406552
17400 sec,6204.984544
17700 sec,6203.852137
18000 sec,6096.945952
18300 sec,6059.773101
18600 sec,6135.879801
18900 sec,6107.619213
19200 sec,6121.924462
19500 sec,6099.464392
19800 sec,6034.72563
20100 sec,6036.655212
20400 sec,6010.345283
20700 sec,6050.504301
21000 sec,6014.642592
21300 sec,6029.902073
21600 sec,5988.314058
21900 sec,5977.992121
22200 sec,5926.425995
22500 sec,5909.550509
22800 sec,5880.809025
23100 sec,5906.527431
23400 sec,5894.644073
23700 sec,3827.948616
24000 sec,3852.623655
24300 sec,3817.654934
24600 sec,3875.224144
24900 sec,3939.154263
25200 sec,3876.842961
25500 sec,3900.576477
25800 sec,3894.605134
26100 sec,3841.650373
26400 sec,3848.731219
26700 sec,3814.633748
27000 sec,3810.722196
27300 sec,3819.07878
27600 sec,3820.091198
27900 sec,3876.229007
28200 sec,3803.042718
28500 sec,3808.572847
28800 sec,3795.412166
29100 sec,3762.59371
29400 sec,3860.380185
29700 sec,3867.032203
30000 sec,3905.944313
30300 sec,3824.162058
30600 sec,3830.210218
30900 sec,3855.212668
31200 sec,3872.367274
31500 sec,3855.935876
31800 sec,3819.409331
32100 sec,3826.902427
32400 sec,3846.545149
32700 sec,3811.086268
33000 sec,3761.372686
33300 sec,3773.767869
33600 sec,3817.843209
33900 sec,3772.343004
34200 sec,3813.475433
34500 sec,3805.662285
34800 sec,3804.304741
35100 sec,3748.336998
35400 sec,3811.527725
35700 sec,3777.025335
36000 sec,3864.947293
36300 sec,3820.243795
36600 sec,3839.731304
36900 sec,3779.864062
37200 sec,3758.632746
37500 sec,3763.160018
37800 sec,3789.495469
38100 sec,3761.512253
38400 sec,3770.366422
38700 sec,3703.59821
39000 sec,3738.910107
39300 sec,3737.150929
39600 sec,3717.210329
39900 sec,3774.018742
40200 sec,3795.74864
40500 sec,3770.567544
40800 sec,3748.166351
41100 sec,3790.028234
41400 sec,3783.042022
41700 sec,5845.784833
42000 sec,5901.059646
42300 sec,3847.538996
42600 sec,5914.395004
42900 sec,5949.674549
43200 sec,5962.24127
43500 sec,5995.004265
43800 sec,6080.559869
44100 sec,6041.559115
44400 sec,6045.694242
44700 sec,6075.561223
45000 sec,6019.483013
45300 sec,3898.128688
45600 sec,5987.393355
45900 sec,5977.054291
46200 sec,6002.212055
46500 sec,3865.621382
46800 sec,3848.327779
47100 sec,3960.621201
47400 sec,3902.020835
47700 sec,3797.713609
48000 sec,3793.68197
48300 sec,3786.983696
48600 sec,3732.647627
48900 sec,3771.191942
49200 sec,2740.08332
49500 sec,3731.905748
49800 sec,3717.896219
50100 sec,3730.080084
50400 sec,3753.960385
50700 sec,3813.630265
51000 sec,3763.259751
51300 sec,3701.920878
51600 sec,3700.953995
51900 sec,3717.008942
52200 sec,3696.04685
52500 sec,3670.334189
52800 sec,3638.214516
53100 sec,3638.322314
53400 sec,3619.218422
53700 sec,3644.593563
54000 sec,3603.403857
54300 sec,3635.641096
54600 sec,3617.603906
54900 sec,3617.141543
55200 sec,3658.830615
55500 sec,3671.716147
55800 sec,3655.115247
56100 sec,3699.177252
56400 sec,3675.802991
56700 sec,3691.525159
57000 sec,3717.819166
57300 sec,3702.790481
57600 sec,3707.385594
57900 sec,3727.223257
58200 sec,3718.664183
58500 sec,3736.545992
58800 sec,3743.481191
59100 sec,3768.785842
59400 sec,3772.415965
59700 sec,3817.187103
60000 sec,3894.250761
60300 sec,3867.097523
60600 sec,3827.307431
60900 sec,3806.254317
61200 sec,3824.544382
61500 sec,3812.481385
61800 sec,3795.500588
62100 sec,3783.204659
62400 sec,3830.145359
62700 sec,3840.434398
63000 sec,3769.976084
63300 sec,3781.456287
63600 sec,3723.138457
63900 sec,3751.036802
64200 sec,3737.401699
64500 sec,3731.473168
64800 sec,3752.859593
65100 sec,3756.986556
65400 sec,3829.769172
65700 sec,3840.567423
66000 sec,3815.283606
66300 sec,3877.844948
66600 sec,3898.205664
66900 sec,3911.876022
67200 sec,3908.732067
67500 sec,3973.014304
67800 sec,3977.946781
68100 sec,3975.311934
68400 sec,3970.41754
68700 sec,4000.449353
69000 sec,4011.574923
69300 sec,3980.97523
69600 sec,3995.123287
69900 sec,3980.21292
70200 sec,2906.207959
70500 sec,3999.744907
70800 sec,3991.605807
71100 sec,3940.528414
71400 sec,4015.438473
71700 sec,4034.876597
72000 sec,3998.717451
72300 sec,4047.271904
72600 sec,4052.48096
72900 sec,4040.318783
73200 sec,4021.931464
73500 sec,3955.048007
73800 sec,3980.527985
74100 sec,3965.041337
74400 sec,3953.728006
74700 sec,3957.048526
75000 sec,3896.273442
75300 sec,3936.627359
75600 sec,3959.524843
75900 sec,3972.346494
76200 sec,3966.530331
76500 sec,3990.181883
76800 sec,4041.12861
77100 sec,3955.921429
77400 sec,4030.088019
77700 sec,4005.915367
78000 sec,4018.414401
78300 sec,3956.682317
78600 sec,3977.01063
78900 sec,3968.483168
79200 sec,3973.79233
79500 sec,3948.763704
79800 sec,4011.245267
80100 sec,3967.302531
80400 sec,3997.65891
80700 sec,3987.827375
81000 sec,3981.881995
81300 sec,4009.090571
81600 sec,4027.452421
81900 sec,4039.547255
82200 sec,4040.934003
82500 sec,4024.01633
82800 sec,4030.47645
83100 sec,4054.89315
83400 sec,4020.67365
83700 sec,4006.638312
84000 sec,4058.492126
84300 sec,4020.541492
84600 sec,4011.908173
84900 sec,4050.175127
85200 sec,4040.240307
85500 sec,4008.903064
85800 sec,3988.437056
86100 sec,3975.185419
86400 sec,4021.136999
86700 sec,3974.18402
87000 sec,4016.834831
87300 sec,3960.063867
87600 sec,3979.047244
87900 sec,3977.211671
88200 sec,3937.869051
88500 sec,3924.563302
88800 sec,3859.927216
89100 sec,3927.525506
89400 sec,2825.404273
89700 sec,2823.580524
90000 sec,2856.247835
90300 sec,3915.619476
90600 sec,3949.046989
90900 sec,3972.260467
91200 sec,4039.708349
91500 sec,3900.994939
91800 sec,3910.527185
92100 sec,3904.977393
92400 sec,3923.227176
92700 sec,3913.640738
93000 sec,3926.982295
93300 sec,3897.140659
93600 sec,3893.291305
93900 sec,3938.060139
94200 sec,3871.310444
94500 sec,3887.874752
94800 sec,3860.477825
95100 sec,3884.586981
95400 sec,3952.121577
95700 sec,3948.123703
96000 sec,3932.501641
96300 sec,3938.349402
96600 sec,3937.433033
96900 sec,3919.111435
97200 sec,3928.06613
97500 sec,3915.405077
97800 sec,3880.671612
98100 sec,3895.762463
98400 sec,3853.375523
98700 sec,3935.940526
99000 sec,3929.313587
99300 sec,3936.288223
99600 sec,3938.494476
99900 sec,3910.726789
1.002e+05 sec,3948.578769
1.005e+05 sec,3925.714009
1.008e+05 sec,4001.640986
1.011e+05 sec,3972.722777
1.014e+05 sec,3906.708743
1.017e+05 sec,3964.926999
1.02e+05 sec,3911.044079
1.023e+05 sec,3938.36381
1.026e+05 sec,3916.686024
1.029e+05 sec,3907.669028
1.032e+05 sec,3852.006521
1.035e+05 sec,3901.326986
1.038e+05 sec,3873.479339
1.041e+05 sec,3894.963798
1.044e+05 sec,3874.252507
1.047e+05 sec,3850.593254
1.05e+05 sec,3888.294177
1.053e+05 sec,3876.500322
1.056e+05 sec,3844.74915
1.059e+05 sec,3821.157484
1.062e+05 sec,3891.319146
1.065e+05 sec,3813.175748
1.068e+05 sec,3966.273739
1.071e+05 sec,4045.398094
1.074e+05 sec,4067.168414
1.077e+05 sec,4058.32707
1.08e+05 sec,4120.123559
1.083e+05 sec,4065.23759
1.086e+05 sec,4070.479967
1.089e+05 sec,3983.663851
1.092e+05 sec,3984.964534
1.095e+05 sec,3991.846309
1.098e+05 sec,3984.11459
1.101e+05 sec,4010.971122
1.104e+05 sec,4035.871206
1.107e+05 sec,4049.612777
1.11e+05 sec,4000.015127
1.113e+05 sec,4002.16442
1.116e+05 sec,3978.480797
1.119e+05 sec,3987.261908
1.122e+05 sec,3971.280161
1.125e+05 sec,3927.013154
1.128e+05 sec,3912.03639
1.131e+05 sec,3913.383277
1.134e+05 sec,3895.285564
1.137e+05 sec,3948.841259
1.14e+05 sec,3949.112112
1.143e+05 sec,3898.021803
1.146e+05 sec,3843.130018
1.149e+05 sec,3834.894323
1.152e+05 sec,3789.388763
1.155e+05 sec,3860.85493
1.158e+05 sec,3866.469563
1.161e+05 sec,3897.953685
1.164e+05 sec,3863.480788
1.167e+05 sec,5978.645285
1.17e+05 sec,5938.141633
1.173e+05 sec,5985.612689
1.176e+05 sec,5973.187843
1.179e+05 sec,5984.216334
1.182e+05 sec,6150.475324
1.185e+05 sec,6199.990721
1.188e+05 sec,6215.369553
1.191e+05 sec,6323.233745
1.194e+05 sec,6286.451531
1.197e+05 sec,6334.308677
1.2e+05 sec,6315.298813
1.203e+05 sec,6321.893211
1.206e+05 sec,6308.976367
1.209e+05 sec,6244.110992
1.212e+05 sec,6075.272337
1.215e+05 sec,6173.269259
1.218e+05 sec,6152.269844
1.221e+05 sec,6100.211514
1.224e+05 sec,6121.629345
1.227e+05 sec,6077.605117
1.23e+05 sec,6081.78514
1.233e+05 sec,6057.862788
1.236e+05 sec,6056.161386
1.239e+05 sec,6042.702023
1.242e+05 sec,6073.717052
1.245e+05 sec,6134.920773
1.248e+05 sec,6080.029979
1.251e+05 sec,6009.08443
1.254e+05 sec,6019.21486
1.257e+05 sec,6025.947123
1.26e+05 sec,5993.627751
1.263e+05 sec,5999.305366
1.266e+05 sec,6028.706545
1.269e+05 sec,6032.844719
1.272e+05 sec,6065.254949
1.275e+05 sec,6078.097562
1.278e+05 sec,6085.612935
1.281e+05 sec,6017.662619
1.284e+05 sec,6065.157494
1.287e+05 sec,6094.612496
1.29e+05 sec,6065.387323
1.293e+05 sec,6021.333408
1.296e+05 sec,6046.909039
1.299e+05 sec,5961.215927
1.302e+05 sec,5873.965574
1.305e+05 sec,5886.919432
1.308e+05 sec,5915.915278
1.311e+05 sec,5986.746511
1.314e+05 sec,6014.238724
1.317e+05 sec,6068.933326
1.32e+05 sec,6119.909476
1.323e+05 sec,6151.304084
1.326e+05 sec,6132.125505
1.329e+05 sec,6233.387897
1.332e+05 sec,6253.397952
1.335e+05 sec,6273.214619
1.338e+05 sec,6259.772403
1.341e+05 sec,6143.698976
1.344e+05 sec,6122.781803
1.347e+05 sec,3970.290947
1.35e+05 sec,6043.822148
1.353e+05 sec,6048.674547
1.356e+05 sec,6096.639789
1.359e+05 sec,6089.388836
1.362e+05 sec,6086.217871
1.365e+05 sec,6026.661263
1.368e+05 sec,6008.247719
1.371e+05 sec,5990.685024
1.374e+05 sec,5969.846524
1.377e+05 sec,5902.260485
1.38e+05 sec,5861.303431
1.383e+05 sec,5845.879365
1.386e+05 sec,5763.342248
1.389e+05 sec,5770.592567
1.392e+05 sec,5717.12352
1.395e+05 sec,5745.728876
1.398e+05 sec,5737.438777
1.401e+05 sec,5764.544009
1.404e+05 sec,5782.362758
1.407e+05 sec,5773.754002
1.41e+05 sec,5759.245987
1.413e+05 sec,5804.022498
1.416e+05 sec,5780.114976
1.419e+05 sec,5775.621474
1.422e+05 sec,5780.23577
1.425e+05 sec,5777.28272
1.428e+05 sec,5742.436856
1.431e+05 sec,5761.498106
1.434e+05 sec,5725.159194
1.437e+05 sec,5728.781365
1.44e+05 sec,5727.187751
1.443e+05 sec,5727.695987
1.446e+05 sec,5738.805114
1.449e+05 sec,5749.346709
1.452e+05 sec,5749.472063
1.455e+05 sec,5714.584629
1.458e+05 sec,5749.664964
1.461e+05 sec,5759.52458
1.464e+05 sec,5758.824889
1.467e+05 sec,5866.325991
1.47e+05 sec,5873.339109
1.473e+05 sec,6120.041385
1.476e+05 sec,6153.079558
1.479e+05 sec,6024.685814
1.482e+05 sec,6098.375769
1.485e+05 sec,6052.71207
1.488e+05 sec,6014.030258
1.491e+05 sec,6041.408922
1.494e+05 sec,6092.333811
1.497e+05 sec,6035.893896
1.5e+05 sec,5992.669815
1.503e+05 sec,6040.737352
1.506e+05 sec,5946.165534
1.509e+05 sec,5947.49969
1.512e+05 sec,5893.728876
1.515e+05 sec,5821.855522
1.518e+05 sec,5830.981098
1.521e+05 sec,5845.394069
1.524e+05 sec,5714.913827
1.527e+05 sec,5697.405122
1.53e+05 sec,5806.98344
1.533e+05 sec,5822.110225
1.536e+05 sec,5856.425069
1.539e+05 sec,5919.395681
1.542e+05 sec,5911.315756
1.545e+05 sec,5864.970176
1.548e+05 sec,5841.033086
1.551e+05 sec,5873.658617
1.554e+05 sec,5911.612113
1.557e+05 sec,5916.85441
1.56e+05 sec,5938.551738
1.563e+05 sec,5948.716309
1.566e+05 sec,6010.846519
1.569e+05 sec,5969.627621
1.572e+05 sec,5999.149541
1.575e+05 sec,6003.715385
1.578e+05 sec,6050.252667
1.581e+05 sec,6015.75377
1.584e+05 sec,6024.210706
1.587e+05 sec,6039.130474
1.59e+05 sec,6018.93726
1.593e+05 sec,6035.399749
1.596e+05 sec,6015.580739
1.599e+05 sec,5997.19533
1.602e+05 sec,6019.48992
1.605e+05 sec,5995.235818
1.608e+05 sec,5991.950799
1.611e+05 sec,6033.482446
1.614e+05 sec,6033.433859
1.617e+05 sec,6060.009776
1.62e+05 sec,6111.995539
1.623e+05 sec,6122.560211
1.626e+05 sec,6054.565141
1.629e+05 sec,6019.288559
1.632e+05 sec,6057.113385
1.635e+05 sec,6030.039988
1.638e+05 sec,5995.687098
1.641e+05 sec,5976.145423
1.644e+05 sec,5985.31734
1.647e+05 sec,6021.001308
1.65e+05 sec,6121.715884
1.653e+05 sec,6160.167025
1.656e+05 sec,6172.685723
1.659e+05 sec,6138.918608
1.662e+05 sec,6057.110375
1.665e+05 sec,5975.892909
1.668e+05 sec,6003.419749
1.671e+05 sec,5986.705478
1.674e+05 sec,6054.134966
1.677e+05 sec,6132.566819
1.68e+05 sec,6120.071779
1.683e+05 sec,6108.457557
1.686e+05 sec,6088.664014
1.689e+05 sec,6063.012103
1.692e+05 sec,6052.684908
1.695e+05 sec,6054.90734
1.698e+05 sec,6083.305696
1.701e+05 sec,6092.337908
1.704e+05 sec,6102.364275
1.707e+05 sec,6039.349512
1.71e+05 sec,6024.06125
1.713e+05 sec,6074.871327
1.716e+05 sec,6039.80478
1.719e+05 sec,6055.111087
1.722e+05 sec,6035.603115
1.725e+05 sec,6018.67829
1.728e+05 sec,5995.9571
1.731e+05 sec,6043.964313
1.734e+05 sec,6081.930733
1.737e+05 sec,6086.119477
1.74e+05 sec,6100.241641
1.743e+05 sec,6076.68517
1.746e+05 sec,6090.125907
1.749e+05 sec,6020.393484
1.752e+05 sec,6025.512462
1.755e+05 sec,3926.107346
1.758e+05 sec,3934.35965
1.761e+05 sec,2865.1968
1.764e+05 sec,3904.71413
1.767e+05 sec,3944.168835
1.77e+05 sec,3935.465924
1.773e+05 sec,3921.03338
1.776e+05 sec,3923.311764
1.779e+05 sec,3941.235794
1.782e+05 sec,3985.478943
1.785e+05 sec,4016.831923
1.788e+05 sec,3999.198081
1.791e+05 sec,3984.332275
1.794e+05 sec,3992.437121
1.797e+05 sec,4024.461134
1.8e+05 sec,3987.981075
1.803e+05 sec,4014.070611
1.806e+05 sec,3948.367151
1.809e+05 sec,3950.696587
1.812e+05 sec,3961.204831
1.815e+05 sec,3875.920933
1.818e+05 sec,3879.626317
1.821e+05 sec,3902.54993
1.824e+05 sec,3871.911001
1.827e+05 sec,3908.920341
1.83e+05 sec,3922.228346
1.833e+05 sec,3918.07112
1.836e+05 sec,3886.050519
1.839e+05 sec,3926.074997
1.842e+05 sec,3883.581293
1.845e+05 sec,3925.853856
1.848e+05 sec,3919.115808
1.851e+05 sec,3878.084813
1.854e+05 sec,3874.368206
1.857e+05 sec,3903.967227
1.86e+05 sec,3867.001477
1.863e+05 sec,3845.48873
1.866e+05 sec,3820.766601
1.869e+05 sec,3808.354494
1.872e+05 sec,3788.597437
1.875e+05 sec,3791.067023
1.878e+05 sec,3826.893475
1.881e+05 sec,3813.305453
1.884e+05 sec,3829.550206
1.887e+05 sec,3788.050429
1.89e+05 sec,3796.082388
1.893e+05 sec,3803.898465
1.896e+05 sec,3759.123097
1.899e+05 sec,3730.54414
1.902e+05 sec,3724.898878
1.905e+05 sec,3723.784607
1.908e+05 sec,3739.656287
1.911e+05 sec,2738.758846
1.914e+05 sec,2746.664909
1.917e+05 sec,3796.74229
1.92e+05 sec,3797.975623
1.923e+05 sec,3805.985312
1.926e+05 sec,3795.013637
1.929e+05 sec,3830.473061
1.932e+05 sec,3777.427288
1.935e+05 sec,3767.678379
1.938e+05 sec,3784.770116
1.941e+05 sec,3819.684361
1.944e+05 sec,3838.611182
1.947e+05 sec,3859.561214
1.95e+05 sec,3847.586897
1.953e+05 sec,3854.219322
1.956e+05 sec,5966.543006
1.959e+05 sec,6000.594111
1.962e+05 sec,5947.226752
1.965e+05 sec,6000.344164
1.968e+05 sec,6025.439085
1.971e+05 sec,5964.616482
1.974e+05 sec,5917.522613
1.977e+05 sec,5990.916305
1.98e+05 sec,6041.143774
1.983e+05 sec,5903.175348
1.986e+05 sec,5913.99074
1.989e+05 sec,5895.434383
1.992e+05 sec,5884.712148
1.995e+05 sec,5868.666405
1.998e+05 sec,5866.087254
2.001e+05 sec,5865.551557
2.004e+05 sec,5861.305774
2.007e+05 sec,5875.789507
2.01e+05 sec,5902.463192
2.013e+05 sec,5869.467571
2.016e+05 sec,5899.792603
2.019e+05 sec,5908.371447
2.022e+05 sec,5949.315289
2.025e+05 sec,5926.09035
2.028e+05 sec,5952.338337
2.031e+05 sec,5959.145113
2.034e+05 sec,5939.162525
2.037e+05 sec,5931.423082
2.04e+05 sec,5934.168477
2.043e+05 sec,5935.392492
2.046e+05 sec,5944.571502
2.049e+05 sec,5941.382066
2.052e+05 sec,5923.508674
2.055e+05 sec,5942.512314
2.058e+05 sec,5995.103341
2.061e+05 sec,5954.529133
2.064e+05 sec,5922.343514
2.067e+05 sec,5952.762352
2.07e+05 sec,5926.270638
2.073e+05 sec,5952.155868
2.076e+05 sec,5895.693289
2.079e+05 sec,5883.937607
2.082e+05 sec,5830.445116
2.085e+05 sec,5868.153864
2.088e+05 sec,5886.927106
2.091e+05 sec,5844.735953
2.094e+05 sec,3811.837335
2.097e+05 sec,3775.485211
2.1e+05 sec,5867.225712
2.103e+05 sec,5831.825734
2.106e+05 sec,5838.357562
2.109e+05 sec,5794.133848
2.112e+05 sec,5811.755888
